date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:50:55	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2029%20Jan%202023%2019:50:49%20GMT	https://s.id/Ib-bankbri-co-id	C:/Users/USER/layanan/s.id/Ib-bankbri-co-id.0.delayed	(from )
02:50:58	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202023%2019:50:50%20GMT	https://my02layanan.xyz/robots.txt		(from )
02:50:58	22954/22954	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Nov%202022%2008:06:24%20GMT	https://my02layanan.xyz/	C:/Users/USER/layanan/my02layanan.xyz/index.html	(from )
02:50:59	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%22635b4489-c854%22	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/Users/USER/layanan/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://my02layanan.xyz/)
02:50:59	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202023%2019:50:53%20GMT	https://my02layanan.xyz/img6wpBpPy/Ej-EAbf-PVg-AATo-Ur-picsay.jpg	C:/Users/USER/layanan/my02layanan.xyz/img6wpBpPy/Ej-EAbf-PVg-AATo-Ur-picsay.jpg	(from https://my02layanan.xyz/)
02:51:02	51/51	---M-Z	404	error ('Not%20Found')	text/plain	etag:W/%2233-PjWwTBuWAp3Y/PjPe+goI9H7he8%22	https://cdn.jsdelivr.net/gh/AlexHostX/another@main/brims/20220617_022922.png	C:/Users/USER/layanan/cdn.jsdelivr.net/gh/AlexHostX/another@main/brims/20220617_022922.5.delayed	(from https://my02layanan.xyz/)
02:51:03	45349/45349	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Nov%202022%2007:59:10%20GMT	https://my02layanan.xyz/img/bri-header.png	C:/Users/USER/layanan/my02layanan.xyz/img/bri-header.png	(from https://my02layanan.xyz/)
02:51:03	153651/153651	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Nov%202022%2007:59:12%20GMT	https://my02layanan.xyz/img/mo.png	C:/Users/USER/layanan/my02layanan.xyz/img/mo.png	(from https://my02layanan.xyz/)
02:51:04	119546/119546	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Nov%202022%2007:59:10%20GMT	https://my02layanan.xyz/img/2.jpg	C:/Users/USER/layanan/my02layanan.xyz/img/2.jpg	(from https://my02layanan.xyz/)
02:51:05	123714/123714	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Nov%202022%2007:59:10%20GMT	https://my02layanan.xyz/img/1.jpg	C:/Users/USER/layanan/my02layanan.xyz/img/1.jpg	(from https://my02layanan.xyz/)
02:51:07	45960/45960	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Nov%202022%2007:59:12%20GMT	https://my02layanan.xyz/img/logo-ojk.png	C:/Users/USER/layanan/my02layanan.xyz/img/logo-ojk.png	(from https://my02layanan.xyz/)
02:51:07	15795/15795	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Nov%202022%2007:59:10%20GMT	https://my02layanan.xyz/img/logo-lps.png	C:/Users/USER/layanan/my02layanan.xyz/img/logo-lps.png	(from https://my02layanan.xyz/)
02:51:09	85656/85656	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14e98%22	http://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.2/jquery.min.js	C:/Users/USER/layanan/cdnjs.cloudflare.com/ajax/libs/jquery/2.2.2/jquery.min.js	(from https://my02layanan.xyz/)
02:51:10	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Users/USER/layanan/code.jquery.com/jquery-3.5.1.min.js	(from https://my02layanan.xyz/)
02:51:11	93107/93107	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d5-16bb3%22	https://code.jquery.com/jquery-1.10.2.min.js	C:/Users/USER/layanan/code.jquery.com/jquery-1.10.2.min.js	(from https://my02layanan.xyz/)
02:51:11	84245/84245	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/Users/USER/layanan/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://my02layanan.xyz/)
02:51:12	84320/84320	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Users/USER/layanan/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://my02layanan.xyz/)
02:51:12	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/USER/layanan/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://my02layanan.xyz/)
02:51:13	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/Users/USER/layanan/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://my02layanan.xyz/)
